,keys_pair,minutesSinceStart,gap,barClosePrice,tradePrice,Lpred1b,Lpred2b,Lpred3b,Lpred4b,Lpred5b,Lpred6b,Lpred7b,Lpred8b,Lpred9b,Lpred10b,Lpred11b,Lpred12b,Lpred13b,Lpred14b
1856933,pair_1,75.0,0,,,-0.00067910986924575,-0.000656911142098738,-0.00044808177988762304,4.90017941269961e-05,0.000613546061573521,0.00101709380993839,0.00105676252954738,-0.000444340079136831,-0.00162101338387495,-0.00351599810189039,-0.00597291467586309,-0.0067724853670055605,-0.007290562813130071,-0.00816093998357345
1856934,pair_1,80.0,0,,,-0.000615645550776763,-0.000583329042996518,-0.00036126224631043396,0.00011526358240533301,0.000650252273004425,0.0010334087545588,0.00100599697913873,-0.000549505086485721,-0.0014881441049352,-0.00343897345151347,-0.00585231187853306,-0.00665457092150873,-0.00727496294972371,-0.00814930834643542
1856935,pair_1,85.0,0,,,-0.000545228928551928,-0.00045691849192193,-0.000196879419680251,0.00031091356946590803,0.0008675100693286599,0.00125592012915857,0.00124442859316869,-0.000249414425024175,-0.00122004627110483,-0.00301967082928124,-0.00544758097469452,-0.00631641822374554,-0.00687736311061638,-0.00782097581878109
1856936,pair_1,90.0,0,,,-0.000504143117410111,-0.000340850428369725,-6.340385511792599e-06,0.000535782980132364,0.0010774024582259401,0.00143006434571325,0.00138546290699843,-0.000119723180337824,-0.0012518510142144699,-0.0029445416237412303,-0.00554589508707461,-0.006552283425163,-0.0071150606093536295,-0.008134082546939479
1856937,pair_1,95.0,0,,,-0.000379089723958711,-0.00018003705133281002,0.000163063921258818,0.000738379385212964,0.0012898143454847198,0.00161961374059985,0.0014250348145114,-0.000260116799832419,-0.0015162658397833901,-0.00305276444163057,-0.00577088577024896,-0.0068301704066837604,-0.007280509424621341,-0.0082964279007714
1856938,pair_1,100.0,0,,,-0.000413208495171212,-0.000264890233739547,2.7983918099093603e-05,0.00052958123266405,0.00097636922920133,0.0012155014774526802,0.0009012628630949539,-0.000846280843693602,-0.00199650498736721,-0.00366587041245625,-0.00611303525603443,-0.0070379676181833,-0.00757940744263625,-0.00843106705694919
1856939,pair_1,105.0,0,,,-0.00035029475969757597,-0.000191896961054863,0.000106053282072928,0.000573846113363409,0.000984860065704842,0.00119294239446494,0.000843861778087225,-0.0009213059215816689,-0.00199151868351651,-0.00368832151544826,-0.00596468123240674,-0.00680488210604245,-0.0073509636663819,-0.00817639693107705
1856940,pair_1,110.0,0,,,-0.000332324040190859,-0.000174877351076031,0.000114002983602021,0.000575394775264271,0.00100492386687327,0.0012421032783309,0.000930623426228894,-0.000883410815466892,-0.00196767076169059,-0.00368115253284906,-0.00596894924741534,-0.00685913602680001,-0.007406852928406891,-0.00827937969300867
1856941,pair_1,115.0,0,,,-0.00036927933221877297,-0.000229789587087827,1.96766087719095e-05,0.000407580742698714,0.000784894734313565,0.00101569432947933,0.000723264501386453,-0.00125673275826098,-0.00226558569796897,-0.00391296772914401,-0.00617943837280627,-0.007190061175525509,-0.007819474938945659,-0.00867863380111942
1856942,pair_1,120.0,0,,,-0.000487530914461762,-0.000408409514107985,-0.000186851738921362,0.000176905806918417,0.000485494972968904,0.000649057762759885,0.000318123006954701,-0.00154235330359992,-0.0026399320025045,-0.004547630804548329,-0.00669210023367745,-0.00755664288667673,-0.008259865224440291,-0.00895695481312276
1856943,pair_1,125.0,0,,,-0.000483000538253358,-0.000417020647973698,-0.000195059376329223,0.000183435412884568,0.00051512621477199,0.000697249219922151,0.000376538751193705,-0.0014057136912301,-0.0023491447950895698,-0.0043707010563901,-0.00656390369642954,-0.00747137919896295,-0.00817427519966582,-0.00889072665585564
1856944,pair_1,130.0,0,,,-0.000488538368575942,-0.00044284735373512307,-0.000247269999338284,0.000100304214019407,0.000415443172709739,0.000609142705761142,0.000311151531582646,-0.00155939668182926,-0.0024821321612171,-0.00452442582502583,-0.00678930549194101,-0.0077841913892600706,-0.00850054189218364,-0.0091735129107757
1856945,pair_1,135.0,0,,,-0.00037573854802422997,-0.000345603292638854,-0.00020697490515264298,4.12458298880713e-05,0.0002711682473034,0.00041474523336822205,8.398409131149251e-05,-0.0018298256615631898,-0.0027861553508445897,-0.0047789392941435605,-0.00710522867277595,-0.00813386229975697,-0.00886524051770569,-0.009519264986295779
1856946,pair_1,140.0,0,,,-0.00038906673940612,-0.00037516625693635497,-0.00027160706413172596,-8.134262847421071e-05,0.000104003411606012,0.000212096092283795,-0.000197272991152201,-0.00224457399876571,-0.00290024782263883,-0.00478906472444391,-0.007342579547508209,-0.00853129529524497,-0.00925973278048302,-0.00990402327363886
1856947,pair_1,145.0,0,,,-0.000279147475343327,-0.000181588196650326,-2.62880057527138e-05,0.000192657039913336,0.000391390133968433,0.000491488674343061,8.765633143436059e-05,-0.0019418362683544898,-0.00278427026530427,-0.0044322177090881,-0.00710185814370734,-0.0083334144469679,-0.00898223520795111,-0.00971242389017154
1856948,pair_1,150.0,0,,,-0.000152080046134476,8.48733853768058e-06,0.00021918174922384,0.000465222939984133,0.000639507719766011,0.000691322602678421,0.00019409466928248798,-0.0018283934230122801,-0.0027828969553006,-0.00436849841633688,-0.00717630166605078,-0.00848193104378436,-0.00912120196507647,-0.00988984171781508
1856949,pair_1,155.0,0,,,-0.000108148428869337,9.80346594376142e-05,0.00032268681409438,0.000573870173671403,0.000790840748673099,0.000875264074366372,0.000412798911910027,-0.00174343108822196,-0.00277130797300877,-0.00426381657721551,-0.0070447265830298,-0.008466860375652259,-0.00894146471452845,-0.00980085074603332
1856950,pair_1,160.0,0,,,-0.000360445110299253,-0.000272029202869483,-0.00012264954992001202,0.000106800170525781,0.000312690134574144,0.000388655539768728,-4.61961656615885e-05,-0.00203330289705437,-0.0029104780171180697,-0.00459439971543431,-0.00726056313295635,-0.00851345130256749,-0.00904708946481317,-0.00977234482011657
1856951,pair_1,165.0,0,,,-0.000320022471819431,-0.000227183104011694,-6.43064512952786e-05,0.000148220767063442,0.000346252960404486,0.000443137383314414,3.67556887256875e-05,-0.00198802917023351,-0.00266452779937485,-0.004324706898591629,-0.007046584973829259,-0.00837437751686663,-0.00903339214879225,-0.00980158993507009
1856952,pair_1,170.0,0,,,-0.000275764817036058,-0.000169389552868036,-6.3530047924829905e-06,0.000238093802173959,0.000440928492903613,0.00050296005223278,1.158593707322e-05,-0.00194057653801423,-0.00269227205059406,-0.00420333422684182,-0.00688664833365194,-0.0081859800641522,-0.00873044988488133,-0.00948065707449725
1856953,pair_1,175.0,0,,,-0.00025170646165407205,-0.000141073537780328,2.17514455510162e-05,0.00024253316891695097,0.000425907400160789,0.0005110564086856231,6.36977286064746e-05,-0.0020125826073835,-0.00276502007579905,-0.00435887548694729,-0.00716728740817223,-0.00872834063871657,-0.00937014471994947,-0.0101573939483127
1856954,pair_1,180.0,0,,,-0.000229590980061715,-0.000180861270814972,-9.00492537715967e-05,9.47444689037896e-05,0.000240724980757652,0.000299284178320168,-0.000254575608604687,-0.00234724637528037,-0.00285048849248667,-0.0045734579142925,-0.007226276909826371,-0.00882032904772085,-0.00944021351977445,-0.0100817330002461
1856955,pair_1,185.0,0,,,-0.000365831923852016,-0.000409772876246675,-0.00038809269336881097,-0.000280540706914869,-0.000210077830338383,-0.00023070534523528399,-0.000840450428552018,-0.00268740969012672,-0.00291161789889629,-0.00493983354261152,-0.007520142402839991,-0.009085712792597409,-0.00968012655143102,-0.0102465811475527
1856956,pair_1,190.0,0,,,-0.00034408237235007596,-0.00038605862814734197,-0.000360262881081659,-0.000262555366535545,-0.000199416206371047,-0.000213380079652203,-0.000784736954692228,-0.00257152543377524,-0.00272027564384058,-0.0048146386219143295,-0.00735767795321314,-0.00897940104976053,-0.009604354319270259,-0.010187595094
1856957,pair_1,195.0,0,,,-0.000304735948220049,-0.00033487934005218303,-0.000286287702572558,-0.000138179594214492,-6.2786058498231e-05,-0.00010255877854025699,-0.000799530313533289,-0.00260090715708534,-0.00270019583455778,-0.004768047853901071,-0.00727823981772155,-0.00886530973799844,-0.00949918087831925,-0.010092347811138
1856958,pair_1,200.0,0,,,-0.000327033048573717,-0.000402665562552875,-0.00040366609755163,-0.000311423470963507,-0.000297550174374895,-0.000382390562045306,-0.0011284556471343901,-0.0029038051065419603,-0.00289448200839385,-0.00500456629181416,-0.00728848063019053,-0.008793021508702741,-0.00944773488341176,-0.009920090590833491
1856959,pair_1,205.0,0,,,-0.00022219469374255602,-0.000231013892861352,-0.000196342811818172,-7.8427361779257e-05,-3.20945997625123e-05,-8.99755843521194e-05,-0.000804795046743163,-0.0026633724287801,-0.00283579660570968,-0.00475598481572799,-0.00713986385751026,-0.008733826878903679,-0.00933196119494256,-0.00990557015283729
